username, created_at, lng, lat, text
ChristineCoz, Thu Apr 30 07:00:41 +0000 2020, -79.565792, 43.837104, We’ll take our blessings where we can get them... 🙏🏻⛪️🎚       https://t.co/GmflnFalEZ https://t.co/JcQa7RbimR 
EternalEyedKing, Thu Apr 30 07:00:41 +0000 2020, -80.233328, 25.782353, @cosmixmel @5SOS https://t.co/FhaF6NZnyd 
illbefrank84, Thu Apr 30 07:00:41 +0000 2020, -73.968542, 40.780709, When you already have trust issues and they consistently “sorry I got high and passed out from the dabs” for hours… https://t.co/C0tv1myxtV 
Hoopadudley, Thu Apr 30 07:00:41 +0000 2020, -117.585658, 33.859093, @TrentRushSports @Angels In Phoenix watching the vcr recording of the game even after listening on the radio after work 
Kristy_love69, Thu Apr 30 07:00:41 +0000 2020, -71.088712, 42.313670, Ain't nothing better than sucking on a nigga's finger after it's been in your pussy 
L1LCR01SS4NT, Thu Apr 30 07:00:41 +0000 2020, -118.156711, 33.809172, Iono if it’s cause I’m tipsy But I get so sad when people think I’m stuck up, mean, or I’m too pretty Reality is… https://t.co/gpehbbklM2 
sarmmont, Thu Apr 30 07:00:42 +0000 2020, -79.616073, 43.555244, @_stefaniealison Girl u be taking hoe baths All year long 
RosePAr47670551, Thu Apr 30 07:00:42 +0000 2020, -80.045939, 32.914424, https://t.co/BUw8vIk5Tt 
ronology2_, Thu Apr 30 07:00:42 +0000 2020, -73.948775, 40.655138, https://t.co/9CktnskTf6 
Nick_Ghods, Thu Apr 30 07:00:42 +0000 2020, -77.479582, 39.086942, @throcky_ Peanut 🥜 
senatorvillegas, Thu Apr 30 07:00:42 +0000 2020, -111.917026, 40.765805, @JradRabel Thanks bro!! 
HeyAraay, Thu Apr 30 07:00:42 +0000 2020, -83.173867, 32.678207, 😍 
Bl6ckBette, Thu Apr 30 07:00:42 +0000 2020, -97.285913, 32.779967, We love Beyoncé on this game https://t.co/aJvT1MZpJa 
nuclearkatie, Thu Apr 30 07:00:42 +0000 2020, -89.569491, 44.900818, @Antiproton_com @rszasz @drskyskull My area of expertise is pretty far removed from detectors, though! Besides an U… https://t.co/TgxQxTQS29 
ryanballis22, Thu Apr 30 07:00:43 +0000 2020, -110.892878, 32.302931, @zachbruhl Thanks man 🙏🏼 
barbiedanz, Thu Apr 30 07:00:43 +0000 2020, -115.135165, 36.060964, Love is a soul awakening 
AlexSGray, Thu Apr 30 07:00:43 +0000 2020, -81.897464, 42.843998, @pambesteder Did you know in Canada the word “spook” equals the “n” word referring to black people? 
santanaajosee, Thu Apr 30 07:00:44 +0000 2020, -117.434547, 47.667438, @CoryMckane Cool 
iamyolobaaaby, Thu Apr 30 07:00:44 +0000 2020, -82.755341, 27.992711, Is this account real @RCA_Byormark i need to know please somebody help 
iiD7nL0fyglAgDX, Thu Apr 30 07:00:44 +0000 2020, -118.503259, 34.415631, #석진 #보라 #석진 #사랑 #석진 #에피파니  #석진 #어웨이크 #석진 #문  #석진 #어깨 #석진 #비율 #석진 #맏내 #석진 #맏형 #석진 #음색 #석진 #보컬 #석진 #춤 #석진 #고음  #석진… https://t.co/Ig2s56r29I 
WRFoxKidsNation, Thu Apr 30 07:00:45 +0000 2020, -84.291981, 39.789929, Oh shit! 
UncleSamActual, Thu Apr 30 07:00:45 +0000 2020, -122.641642, 41.722043, C-130 rolling down the strip! 
dewilliams29, Thu Apr 30 07:00:45 +0000 2020, -83.804475, 27.698682, Bottom line we know who’s the weakest...crying over freedom and rights when it’s been accepted to strip away a pers… https://t.co/U7dD8B1s73 
MoneyBoyBuckz, Thu Apr 30 07:00:45 +0000 2020, -73.948775, 40.655138, Higher den ah bitch 😑 
_livelikelex, Thu Apr 30 07:00:45 +0000 2020, -84.433106, 33.767195, come get your favorite rapper @Zakirjones_ 
Nick_a_lodeon, Thu Apr 30 07:00:46 +0000 2020, -74.563799, 40.413909, Ask me about my budding music career 
angthegem, Thu Apr 30 07:00:46 +0000 2020, -111.931711, 34.168253, FAV FREESTYLE FROM HER OMM 
MAGAWeatherman, Thu Apr 30 07:00:46 +0000 2020, -80.926628, 33.631140, @NWSColumbia just had a 62mph wind gusts in Northern Lancaster County just south of Van Wyck (off of Charlotte High… https://t.co/djYjbkEA0m 
iamkristyb, Thu Apr 30 07:00:46 +0000 2020, -83.804475, 27.698682, Money on my mind. 
mmonse316, Thu Apr 30 07:00:46 +0000 2020, -118.129042, 33.888081, @YEYOLOWKS Todo lo que un novio debería 🤍 
_carmecita_, Thu Apr 30 07:00:46 +0000 2020, -119.782465, 36.786042, Mood 
keilyoterox333, Thu Apr 30 07:00:46 +0000 2020, -73.831187, 40.670879, I fell asleep early to just wake up now someone make me cry again I fall asleep super fast for some reason when I do 
Lilignit, Thu Apr 30 07:00:46 +0000 2020, -83.173867, 32.678207, One day I will have 100 viewers in chat 
emilyadlof, Thu Apr 30 07:00:46 +0000 2020, -100.076888, 31.168893, @YanceyOtto1 Gimme details 
Josuedearc, Thu Apr 30 07:00:46 +0000 2020, -112.124676, 33.552863, Good thing I’m essential 😀 
ouiouiskam, Thu Apr 30 07:00:47 +0000 2020, -77.509630, 38.912599, Me on my way to the polls to vote in November https://t.co/eDM7FuCSoC 
kyleighhankton, Thu Apr 30 07:00:47 +0000 2020, -91.044925, 33.393600, @ogmiiia Yes 😂😂😂 
rnguyen1205, Thu Apr 30 07:00:47 +0000 2020, -121.873730, 37.331159, @najavlis You are a petite guitar 
sierraouslyyy, Thu Apr 30 07:00:47 +0000 2020, -118.411907, 34.020789, How am I supposed to make bad decisions if I’m stuck inside and am scared of people 
Vashoden, Thu Apr 30 07:00:47 +0000 2020, -117.022695, 38.502147, This is my #room. Yesterday it was in shambles and I was living in denial on how bad it had gotten. Spent all day… https://t.co/r7Fzfl6xDc 
xavier_wright_, Thu Apr 30 07:00:47 +0000 2020, -96.699604, 33.194651, https://t.co/b72qTgjIdQ 
rockmom, Thu Apr 30 07:00:47 +0000 2020, -75.127027, 40.312803, @ealadro539 @GarrulousGoat @STFLIckUp @jadande Lots of us are still working and desperately missing sports!! April… https://t.co/WTpIbZNTCM 
aniitaabonita, Thu Apr 30 07:00:48 +0000 2020, -122.435979, 37.770657, @muertesols Who r u talking to? 
4TheeWorldofB, Thu Apr 30 07:00:48 +0000 2020, -90.158017, 32.230987, This man ceases to amaze me. I’m so proud of my brother 👏🏾💪🏾 
Dalynn_, Thu Apr 30 07:00:48 +0000 2020, -80.421955, 35.700175, Bro I swear 
andrewoko23, Thu Apr 30 07:00:48 +0000 2020, -111.880874, 33.282450, @paxpax14 @Djuicetm there’s absolutely no way that you serious g 😂 
RickNakama, Thu Apr 30 07:00:48 +0000 2020, -157.944105, 21.395046, Mason had full creative control of dessert &amp; delivered this cone of surprises for me to eat. @ Rick's Coffee Break https://t.co/hX3sxasn6x 
dbruess2, Thu Apr 30 07:00:48 +0000 2020, -95.189469, 29.511978, @lildickytweets thank you for this show, season was dope 🙏🏼 
